,rating,percentage,totals,imdb_id,title
6,4.0,7.7,44938.0,tt1386697,Suicide Squad
7,3.0,4.8,27923.0,tt1386697,Suicide Squad
8,2.0,3.1,18183.0,tt1386697,Suicide Squad
9,1.0,4.1,23715.0,tt1386697,Suicide Squad
1,9.0,26.3,420797.0,tt0167260,The Lord of the Rings: The Return of the King
2,8.0,16.4,261697.0,tt0167260,The Lord of the Rings: The Return of the King
3,7.0,7.1,114203.0,tt0167260,The Lord of the Rings: The Return of the King
4,6.0,2.7,43527.0,tt0167260,The Lord of the Rings: The Return of the King
5,5.0,1.3,21286.0,tt0167260,The Lord of the Rings: The Return of the King
6,4.0,0.7,10612.0,tt0167260,The Lord of the Rings: The Return of the King
7,3.0,0.5,7810.0,tt0167260,The Lord of the Rings: The Return of the King
8,2.0,0.4,6445.0,tt0167260,The Lord of the Rings: The Return of the King
9,1.0,1.8,28649.0,tt0167260,The Lord of the Rings: The Return of the King
1,9.0,12.5,73964.0,tt1825683,Black Panther
2,8.0,24.3,143495.0,tt1825683,Black Panther
3,7.0,24.0,141503.0,tt1825683,Black Panther
4,6.0,11.8,69454.0,tt1825683,Black Panther
5,5.0,5.1,29999.0,tt1825683,Black Panther
6,4.0,2.3,13293.0,tt1825683,Black Panther
7,3.0,1.3,7907.0,tt1825683,Black Panther
8,2.0,1.0,6027.0,tt1825683,Black Panther
9,1.0,3.3,19383.0,tt1825683,Black Panther
1,9.0,14.1,80964.0,tt1211837,Doctor Strange
2,8.0,31.5,181441.0,tt1211837,Doctor Strange
3,7.0,27.1,156355.0,tt1211837,Doctor Strange
4,6.0,10.5,60501.0,tt1211837,Doctor Strange
5,5.0,3.4,19814.0,tt1211837,Doctor Strange
6,4.0,1.2,6917.0,tt1211837,Doctor Strange
7,3.0,0.6,3208.0,tt1211837,Doctor Strange
8,2.0,0.3,1880.0,tt1211837,Doctor Strange
9,1.0,0.7,4120.0,tt1211837,Doctor Strange
1,9.0,26.7,290962.0,tt1130884,Shutter Island
2,8.0,32.0,349600.0,tt1130884,Shutter Island
3,7.0,15.0,164009.0,tt1130884,Shutter Island
4,6.0,5.0,55099.0,tt1130884,Shutter Island
5,5.0,1.7,18884.0,tt1130884,Shutter Island
6,4.0,0.8,8478.0,tt1130884,Shutter Island
7,3.0,0.4,4624.0,tt1130884,Shutter Island
8,2.0,0.3,3184.0,tt1130884,Shutter Island
9,1.0,0.5,5309.0,tt1130884,Shutter Island
1,9.0,26.6,301913.0,tt0993846,The Wolf of Wall Street
2,8.0,29.4,333549.0,tt0993846,The Wolf of Wall Street
3,7.0,14.9,168787.0,tt0993846,The Wolf of Wall Street
4,6.0,5.2,59227.0,tt0993846,The Wolf of Wall Street
5,5.0,2.1,23397.0,tt0993846,The Wolf of Wall Street
6,4.0,1.0,10948.0,tt0993846,The Wolf of Wall Street
7,3.0,0.6,7272.0,tt0993846,The Wolf of Wall Street
8,2.0,0.5,5390.0,tt0993846,The Wolf of Wall Street
9,1.0,1.0,11303.0,tt0993846,The Wolf of Wall Street
1,9.0,16.1,88258.0,tt3896198,Guardians of the Galaxy Vol. 2
2,8.0,31.1,169980.0,tt3896198,Guardians of the Galaxy Vol. 2
3,7.0,24.6,134808.0,tt3896198,Guardians of the Galaxy Vol. 2
4,6.0,9.7,53131.0,tt3896198,Guardians of the Galaxy Vol. 2
5,5.0,3.1,17236.0,tt3896198,Guardians of the Galaxy Vol. 2
6,4.0,1.2,6767.0,tt3896198,Guardians of the Galaxy Vol. 2
7,3.0,0.6,3239.0,tt3896198,Guardians of the Galaxy Vol. 2
8,2.0,0.4,2004.0,tt3896198,Guardians of the Galaxy Vol. 2
9,1.0,0.8,4356.0,tt3896198,Guardians of the Galaxy Vol. 2
1,9.0,25.0,147337.0,tt2096673,Inside Out
2,8.0,28.8,169947.0,tt2096673,Inside Out
3,7.0,16.6,98158.0,tt2096673,Inside Out
4,6.0,6.2,36406.0,tt2096673,Inside Out
5,5.0,2.2,12929.0,tt2096673,Inside Out
6,4.0,0.9,5169.0,tt2096673,Inside Out
7,3.0,0.5,2829.0,tt2096673,Inside Out
8,2.0,0.3,1787.0,tt2096673,Inside Out
9,1.0,0.8,4447.0,tt2096673,Inside Out
1,9.0,14.8,78965.0,tt0451279,Wonder Woman
2,8.0,26.3,140067.0,tt0451279,Wonder Woman
3,7.0,23.0,122822.0,tt0451279,Wonder Woman
4,6.0,10.9,58097.0,tt0451279,Wonder Woman
5,5.0,4.6,24676.0,tt0451279,Wonder Woman
6,4.0,2.1,10951.0,tt0451279,Wonder Woman
7,3.0,1.2,6159.0,tt0451279,Wonder Woman
8,2.0,0.8,4113.0,tt0451279,Wonder Woman
9,1.0,1.9,10130.0,tt0451279,Wonder Woman
1,9.0,7.6,54595.0,tt0458339,Captain America: The First Avenger
2,8.0,20.4,146830.0,tt0458339,Captain America: The First Avenger
3,7.0,32.2,232061.0,tt0458339,Captain America: The First Avenger
4,6.0,18.8,135675.0,tt0458339,Captain America: The First Avenger
5,5.0,7.1,50944.0,tt0458339,Captain America: The First Avenger
6,4.0,2.7,19132.0,tt0458339,Captain America: The First Avenger
7,3.0,1.2,8982.0,tt0458339,Captain America: The First Avenger
8,2.0,0.7,5064.0,tt0458339,Captain America: The First Avenger
9,1.0,1.3,9166.0,tt0458339,Captain America: The First Avenger
1,9.0,8.0,58649.0,tt0800369,Thor
2,8.0,22.1,161272.0,tt0800369,Thor
3,7.0,33.1,241076.0,tt0800369,Thor
4,6.0,16.9,122875.0,tt0800369,Thor
5,5.0,6.4,46300.0,tt0800369,Thor
6,4.0,2.5,17936.0,tt0800369,Thor
7,3.0,1.2,8440.0,tt0800369,Thor
8,2.0,0.6,4522.0,tt0800369,Thor
9,1.0,1.0,7125.0,tt0800369,Thor
1,9.0,21.1,177763.0,tt2488496,Star Wars: The Force Awakens
2,8.0,26.2,220930.0,tt2488496,Star Wars: The Force Awakens
3,7.0,17.0,143582.0,tt2488496,Star Wars: The Force Awakens
4,6.0,7.2,60875.0,tt2488496,Star Wars: The Force Awakens
5,5.0,3.2,27202.0,tt2488496,Star Wars: The Force Awakens
6,4.0,1.6,13146.0,tt2488496,Star Wars: The Force Awakens
7,3.0,1.0,8802.0,tt2488496,Star Wars: The Force Awakens
8,2.0,0.8,7004.0,tt2488496,Star Wars: The Force Awakens
